city,temperature
-,25
肥西,25
巢湖,24
庐江,25
瑶海,25
庐阳,25
蜀山,25
包河,25
-,24
五河,24
龙子湖,24
蚌山,24
禹会,24
淮上,24
-,24
南陵,23
无为,25
镜湖,25
弋江,25
鸠江,25
三山,25
-,24
大通,24
田家庵,24
谢家集,24
八公山,24
寿县,25
-,24
和县,25
花山,24
雨山,24
博望,24
-,26
怀宁,26
宿松,26
望江,26
岳西,22
桐城,25
迎江,26
大观,26
宜秀,26
-,24
泗县,25
萧县,24
埇桥,24
-,26
临泉,26
界首,25
太和,24
颍州,26
颍东,26
颍泉,26
-,25
蒙城,25
谯城,26
-,25
祁门,23
黟县,23
歙县,24
休宁,24
黄山风景区(光明顶),17
徽州,25
-,25
定远,24
全椒,25
来安,25
天长,25
琅琊,24
南谯,24
-,25
相山,25
烈山,25
-,25
郊区,25
枞阳,26
-,23
宁国,23
绩溪,21
广德,23
郎溪,24
宣州,24
-,25
金寨,25
霍山,24
舒城,26
裕安,25
叶集,25
-,24
九华山,23
石台,22
贵池,25
